"date","time","username","name","tweet","replies_count","retweets_count","likes_count"
2021-01-22,"02:56:02","sugawitter","菅 義偉","感染対策の決め手となるワクチンについて、3億1,400万回分の供給を受ける契約の締結に至りました。 ワクチン接種に必要な費用は国が負担します。 国民の皆さんに安全で有効なワクチンを速やかにお届けし、一日も早く感染を収束させ、安心して暮らせる日常を取り戻す。政府を挙げて取り組みます。  https://t.co/ZhP0MmQW2D",2175,1084,4831
2021-01-20,"09:20:03","sugawitter","菅 義偉","バイデン大統領、ハリス副大統領、ご就任おめでとうございます。 日米は普遍的価値を共有する、強い絆で結ばれた同盟国です。日米同盟の強化や「自由で開かれたインド太平洋」の実現に向け、今後バイデン大統領と協力していけることを楽しみにしています。",891,1099,4267
2021-01-20,"09:19:42","sugawitter","菅 義偉","I look forward to working with you and your team to reinforce our alliance and to realize a Free and Open Indo-Pacific.",80,533,3716
2021-01-20,"09:19:13","sugawitter","菅 義偉","Congratulations to President @JoeBiden and Vice President @KamalaHarris on your inauguration. Japan and the United States are allies tied firmly by bonds and shared universal values.",329,1478,8344
2021-01-18,"03:16:13","sugawitter","菅 義偉","通常国会が開会し、施政方針演説を行いました。 新型コロナ対策、長年の課題である少子化や地方活性化への対応。次の成長の原動力となる「グリーン」や「デジタル」。改革をスピード感を持って実現していきます。 「国民のために働く内閣」として全力を尽くします。  https://t.co/SgzZABORRM",2040,492,3499
2021-01-14,"01:32:54","sugawitter","菅 義偉","必要な方に必要な医療を提供していただくために、さらなるご協力をお願いしました。 この難局を乗り越えるため、国、自治体、そして医療関係者が一致団結して対処してまいります。",1233,270,2007
2021-01-14,"01:32:22","sugawitter","菅 義偉","医療関係団体の代表者の方々と意見交換を行いました。 年末年始を問わず、感染防止に細心の注意を払いながら、新型コロナウイルス患者の命を守るため、懸命な努力を続けていただいている医療関係の皆様方に、心から感謝と敬意を表しました。  https://t.co/qV1kTnqLb1",1244,440,2654
2021-01-08,"18:25:26","sugawitter","菅 義偉","スタッフからお知らせです。  菅義偉が下記テレビ番組に生出演いたします。  〇１月１０日（日）午前９時～９時３０分 〇番組名：ＮＨＫ　日曜討論 〇テーマ：緊急事態宣言とコロナ対策  以上お知らせします。  ぜひ、ご覧ください。 菅義偉事務所   https://t.co/3ZP3QamPf0",2326,295,1170
2021-01-08,"01:20:23","sugawitter","菅 義偉","(写真は自衛隊による災害派遣活動)",187,105,1005
2021-01-08,"01:19:55","sugawitter","菅 義偉","国民の皆様におかれましては、最新の気象情報や道路交通情報等に留意し、交通障害や施設への被害、屋根からの落雪や雪崩を十分警戒してください。大雪が予想される地域では、不要不急の外出を控えていただくとともに、除雪作業は十分注意して行っていただくようお願いします。",328,227,1484
2021-01-08,"01:19:35","sugawitter","菅 義偉","今後も広い範囲で大雪が続く見込みです。 自治体や関係者と緊密に連携し、停電の復旧作業や、自衛隊による除雪などを実施しています。今後も警戒を続け、積極的に支援します。  https://t.co/gcxHDGYM4C",616,556,3344
2021-01-07,"22:14:13","sugawitter","菅 義偉","スタッフからお知らせです。  菅義偉が下記テレビ番組に出演いたします。  〇１月８日（金）午後９時５４分～１０時１５分頃  〇番組名：テレビ朝日　報道ステーション  〇テーマ：新型コロナウイルス感染症対策  以上お知らせします。  ぜひ、ご覧ください。 菅義偉事務所   https://t.co/PwXkimawMN",754,307,1048
2021-01-07,"04:46:06","sugawitter","菅 義偉","これまでの国民の皆様のご協力に感謝を申し上げるとともに、今一度、ご協力を賜りますことをお願いいたします。  https://t.co/Am7YjoUKfR",1381,518,2713
2021-01-07,"04:45:22","sugawitter","菅 義偉","どうか皆様のご両親やご父母、ご家庭、友人など、世代を超えて、大切な命を守るために、ご自身の事として捉えていただいて行動をお願いしたいと思います。  1ヶ月後には必ず事態を改善させる、そのためにも私自身、内閣総理大臣として感染拡大防止に全力を尽くし、ありとあらゆる方策を講じて参ります",960,730,3380
2021-01-07,"04:44:13","sugawitter","菅 義偉","若い方々にお伝えしたいことがあります。  最近の１都３県における感染者の半分以上が、30代以下の皆様です。こうした皆様は感染されても多くの場合、重い症状が出ることはありません。しかし、若い方々への感染が、さらなる感染拡大につながっているという現実があります。",302,779,1814
2021-01-07,"04:42:48","sugawitter","菅 義偉","この一年の経験で、多くを学んできました。重要で効果的なのは、会話をする時はマスクをするということです。さらに、家族や普段から一緒にいる方以外との外食を控える、テレワークを7割、夜8時以降の不要不急の外出の自粛、特にこの3点を徹底すれば、必ず感染を抑えることができると考えております。",339,474,1591
2021-01-07,"04:41:38","sugawitter","菅 義偉","今回の世界規模の感染の波は、私たちが想像していたものを超え、厳しいものになっています。しかしこの状況は必ず克服できると思っています。そのためには、もう一度、皆様に制約のある生活をお願いせざるを得ません。",341,381,1534
2021-01-07,"04:39:56","sugawitter","菅 義偉","本日、新型コロナウイルスの感染拡大を受け、東京、埼玉、千葉、神奈川の1都3県に、緊急事態宣言を発出しました。  1年近くにわたるコロナとの闘いにおいて、痛みを伴う自粛要請に協力をいただいております国民の皆様に、心から感謝を申し上げます。",3766,1779,7298
2021-01-03,"21:05:36","sugawitter","菅 義偉","あけましておめでとうございます。  菅義偉が下記テレビ番組に生出演いたします。  〇１月４日（月）午後８時～８時３０分 〇番組名：ＢＳフジ　プライムニュース 〇テーマ：コロナ感染＆日本経済、２０２１年の課題  以上お知らせします。 是非ご覧ください。  菅義偉事務所  https://t.co/I9b23vBez8",1662,334,1712
2020-12-31,"18:33:34","sugawitter","菅 義偉","本年も「国民のために働く内閣」として、全力を尽くしてまいります。国民の皆様の御理解と御協力を賜りますよう、お願い申し上げます。  令和３年１月１日  内閣総理大臣 菅 義偉  https://t.co/dekE02Q7dY",1306,635,5263
2020-12-31,"18:32:45","sugawitter","菅 義偉","この年末年始にかけても、ウィルスとの闘いに御尽力いただいている医療現場の皆様はじめ、全ての国民の皆様のご協力に心より感謝を申し上げます。",350,429,4277
2020-12-31,"18:31:54","sugawitter","菅 義偉","謹んで、新年の御挨拶を申し上げます。  新型コロナウィルスの感染拡大を防ぎ、国民の命と暮らしを守る、これが政権の最大の責務です。 これ以上の感染拡大を食い止めるべく、引き続き総力を挙げて取り組んでまいります。",2578,1293,9858
2020-12-30,"01:27:05","sugawitter","菅 義偉","新型コロナウイルスの新規感染者数が増加する中、静かな年末年始をお過ごしいただくようお願いしているところですが、今回の大雪に備えるため、皆様には不要不急の外出は控えていただきますよう、お願いします。",893,390,2383
2020-12-30,"01:26:37","sugawitter","菅 義偉","本日から年明けにかけて、上空の寒気が強くなり、北日本から西日本の日本海側を中心に、平地も含めて大雪となるおそれがあります。交通障害や施設への被害、雪崩や屋根からの落雪を十分警戒し、あらかじめ必要な備えをしていただくとともに、最新の気象情報や道路交通情報等に留意してください。  https://t.co/RE3bNMknZM",467,539,3254
2020-12-28,"01:49:52","sugawitter","菅 義偉","感染力が強いとされる変異型ウイルスが確認され、本日から、原則全ての国・地域からの外国人の新規入国を一時停止しました。 ウイルスに年末年始はありません。国民の皆様のご協力を仰ぎ、１日も早くもとの日常が取り戻せるように、これまで以上に高い緊張感をもって全力で対策に当たります。  https://t.co/1CRsX54bhj",2603,1152,5838
2020-12-23,"03:06:47","sugawitter","菅 義偉","ポストコロナ時代において我が国経済が再び成長し、世界をリードしていくために、デジタル化を進めるとお約束してきました。ＮＩＣＴなどの機関や民間が総力を結集して研究開発を進め、次世代のデジタル技術で世界をリードして参ります。  #NICT  https://t.co/FM70V3VaDb",1668,356,2413
2020-12-10,"21:56:49","sugawitter","菅 義偉","菅義偉総理が国民の質問に答える生放送  https://t.co/6J9x3urq6i",2168,738,2984
2020-11-23,"00:06:13","sugawitter","菅 義偉","本日関東１都７県の自民党各県連とのリモート対話を行いました。  新型コロナ対策や、防災減災などの国土強靭化、東京オリンピック・パラリンピックの開催に向けて、など、各地域が抱える課題について、率直な意見交換をさせていただきました。 各地域の声を受け止めて、皆様の期待に応えてまいります  https://t.co/8P495nsRet",1215,246,2094
2020-11-16,"23:48:21","sugawitter","菅 義偉","日本人宇宙飛行士の野口さんが搭乗したクルードラゴンの偉大な成功を嬉しく思います。 今回のプロジェクトに関わった米国及び日本のすべての皆様に心から祝意を表しますとともに、野口さんら宇宙飛行士の皆さんが、今後、すばらしい成果を収めることを期待しています。",415,576,6976
2020-11-07,"13:27:58","sugawitter","菅 義偉","ジョー・バイデン氏及びカマラ・ハリス氏に心よりお祝い申し上げます。日米同盟をさらに強固なものとするために，また，インド太平洋地域及び世界の平和，自由及び繁栄を確保するために，ともに取り組んでいくことを楽しみにしております。",2867,5232,20426
2020-11-07,"13:27:23","sugawitter","菅 義偉","Warm congratulations to @JoeBiden and @KamalaHarris. I look forward to working with you to further strengthen the Japan-US Alliance and ensure peace, freedom, and prosperity in the Indo-Pacific region and beyond.",955,7932,51798
2020-10-25,"04:52:34","sugawitter","菅 義偉","こんばんは。  菅義偉が下記テレビ番組に生出演いたします。  ○日時：令和２年１０月２６日（月）午後９：０５～午後９：２０ ○番組名：ＮＨＫ　ニュースウォッチ９ ○テーマ：臨時国会開会について  以上お知らせします。 ぜひ、ご覧ください。  菅義偉事務所   https://t.co/KMYL7tnTka",485,369,2690
2020-10-21,"04:24:24","sugawitter","菅 義偉","令和2年10月21日 ベトナム及びインドネシア訪問についての内外記者会見 | 令和2年 | 総理の演説・記者会見など | ニュース | 首相官邸ホームページ  https://t.co/UES55LKksE",193,350,2691
2020-10-18,"01:12:27","sugawitter","菅 義偉","総理大臣就任後初の外国訪問としてベトナム、インドネシアを訪れます。  東南アジア諸国連合（ＡＳＥＡＮ）は日本が推進する自由で開かれたインド太平洋を実現するためには極めて重要な鍵、そしてパートナーです。地域の平和と繁栄のために貢献する決意を国の内外にしっかりと示してまいります。  https://t.co/vw7vkPudmh",333,1288,9001
2020-10-16,"05:56:44","sugawitter","菅 義偉","政府の拉致問題対策本部は16日、北朝鮮による日本人拉致問題の啓発のため、動画投稿サイト「You tube」に公式チャンネルを開設しました。ぜひチャンネル登録をお願いいたします。   https://t.co/HkBphzWmp5",566,6413,15246
2020-10-02,"14:36:06","sugawitter","菅 義偉","親愛なるトランプ大統領へ、 貴大統領とメラニア夫人がコロナに感染したとのツイートを見て心配しましたが、お二人が速やかにコロナを克服し、日常を取り戻すことを祈っています。",554,3514,17605
2020-09-21,"03:02:12","sugawitter","菅 義偉","こんばんは。 事務所スタッフです。  本日、菅が秘書を務めていた故・小此木彦三郎衆議院議員のお墓にお参りし、内閣総理大臣就任をご報告いたしました。  https://t.co/eoJRcBGGNx",531,925,8890
2020-09-18,"05:07:47","sugawitter","菅 義偉","Deeply touched by so many warm messages of congratulations to @sugawitter, including from world leaders. Truly grateful. With the world facing numerous challenges such as COVID-19, I am determined to give everything I’ve got to address them, working hand-in-hand with you all.",308,911,4697
2020-09-18,"05:07:19","sugawitter","菅 義偉","私の@sugawitterに、各国首脳を始め多くの方々から心温まるお祝いのメッセージを頂きました。全ての方々に、心から感謝申し上げます。新型コロナを始めとして、世界が直面する様々な課題に、皆さんと手を携えて、全力で取り組んでいく決意であります。",932,2766,18979
2020-09-14,"07:26:08","sugawitter","菅 義偉","https://t.co/ohM2N5ioHB",1705,4538,26415
2020-09-13,"16:07:30","sugawitter","菅 義偉","おはようございます。  本日総裁選投開票日です。 以下テレビ番組で中継されます。  〇令和２年９月１４日（月）午後２：００～ 〇番組名：ＮＨＫ　両院議員総会  以上お知らせします。 ぜひ、ご覧ください。  菅義偉事務所",787,883,6907
2020-09-12,"03:01:03","sugawitter","菅 義偉","https://t.co/lxSY5KNkkc",106,177,931
2020-09-12,"02:36:54","sugawitter","菅 義偉","こんばんは。  菅義偉がテレビ番組に生出演いたします。  〇令和２年９月１３日（日）午前７：３０～８：２０ 〇番組名：フジテレビ 日曜報道ＴＨＥ ＰＲＩＭＥ  〇令和２年９月１３日（日）午前９：００～１０：００ 〇番組名：ＮＨＫ 日曜討論  ぜひ、ご覧ください。  菅義偉事務所",164,477,2893
2020-09-11,"16:17:21","sugawitter","菅 義偉","おはようございます。 本日、菅義偉が下記番組に出演いたします。  〇令和２年９月１２日（土）午後１時〜３時 〇ＮＨＫ　日本記者クラブ公開討論会  〇令和２年９月１２日（土）午後７時～８時 〇ニコニコ動画ネット討論会  https://t.co/8Dw7LlLgQK  ぜひ、ご覧ください。  菅義偉事務所",109,226,1188
2020-09-10,"16:14:35","sugawitter","菅 義偉","おはようございます。 本日、菅義偉が下記インターネット番組に出演いたします。  〇令和２年９月１１日（金）午後６：００～６：４５ 〇【総裁選CafeSta】 菅義偉総裁選特番 「地方から活力あふれる日本に！」  https://t.co/TYHBMB9qBZ  以上お知らせします。 ぜひ、ご覧ください。  菅義偉事務所",237,202,1142
2020-09-09,"16:11:14","sugawitter","菅 義偉","おはようございます。  本日、菅義偉が下記テレビ番組に出演いたします。  〇令和２年９月１０日（木）午後１１：００～１１：３０ 〇テレビ東京　ワールドビジネスサテライト  以上お知らせします。 ぜひ、ご覧ください。  すが義偉事務   https://t.co/76bFDVzuA8",121,226,1412
2020-09-08,"18:49:26","sugawitter","菅 義偉","おはようございます。 本日、菅義偉が下記番組に出演いたします。  〇令和2年9月9日（水） 午後1時～2時30分 〇番組名：自民党青年局・女性局主催「総裁選挙公開討論会」 Twitterライブ  https://t.co/BZ8WUO1yn8  〇午後11時～11時30分 日本テレビ　N EWS ZERO  ぜひご覧ください。  菅義偉事務所",147,269,1666
2020-09-07,"18:58:16","sugawitter","菅 義偉","おはようございます。  本日下記テレビ番組に出演いたします。  令和2年9月8日（火） 午後１時～2時 ＮＨＫ　所見発表演説会　  午後3時～4時 ＮＨＫ　共同記者会見　  午後9時54分～10時30分 テレビ朝日　報道ステーション  午後11時～11時30分 ＴＢＳ　ＮＥＷＳ２３  ぜひご覧ください  菅義偉事務所",171,396,2821
2020-09-07,"05:56:10","sugawitter","菅 義偉","こんばんは。  菅義偉の総裁選特設サイトが立ち上がりました。 いよいよ明日から総裁選が始まります。  多くの皆様にご覧いただきたく、シェアをお願いします。 頑張ってまいります！  菅義偉事務所   https://t.co/r1V64lmHgl",247,1315,6336
2020-09-05,"16:06:19","sugawitter","菅 義偉","おはようございます。  菅義偉が下記のテレビ番組出演を予定していましたが、台風対応のため中止となりました。  ○令和２年９月６日（日） ○午前９：００～午前９：４０ ○番組名：ＮＨＫ　日曜討論  以上お知らせします。 よろしくお願いいたします。  菅義偉事務所",157,588,5719
2020-09-05,"02:56:25","sugawitter","菅 義偉","https://t.co/nK4vrlxWc4",372,2312,10839
2020-09-05,"02:14:15","sugawitter","菅 義偉","https://t.co/7iGrIKCVW4",111,494,2324
2020-09-04,"03:45:23","sugawitter","菅 義偉","こんばんは。  すが義偉が総裁選出馬を受けて下記のテレビ番組に生出演いたします。  ○令和２年９月５日（土）午前８：３０～８：５０ 読売テレビ ウェークアップ！プラス  ○令和２年９月６日（日）午前９：００～９：４０ ＮＨＫ 日曜討論  ぜひ、ご覧ください。  すが義偉事務所",245,674,3997
