date,time,username,name,tweet,tweet_en,replies_count,retweets_count,likes_count
2021-01-27,20:17:28,sugawitter,菅 義偉,"I have just had a telephone conversation with President @JoeBiden, in which I congratulated him on his inauguration and discussed with him a range of substantive issues.","I have just had a telephone conversation with President @JoeBiden, in which I congratulated him on his inauguration and discussed with him a range of substantive issues.",17,88,451
2021-01-27,8:54:52,sugawitter,菅 義偉,大統領当選後に続く2回目の電話会談でしたが、前回以上にじっくりと、また、実質的なやりとりができました。 バイデン大統領との個人的関係も深めつつ、日米同盟のさらなる強化に向けて、しっかりと取り組んでまいります。,"It was the second telephone conversation followed by President-elect, but carefully than the last time, also, we have substantial interaction. Deepen even personal relationship with Biden President, for further strengthening of the Japan-US alliance, we will work firmly.",369,520,4746
2021-01-27,8:54:14,sugawitter,菅 義偉,コロナ対策や気候変動問題含む国際社会共通の問題について、緊密に協力していくことでも一致しました。 さらに、日米安保条約5条の尖閣諸島への適用、日米豪印のさらなる協力、拉致問題への早期解決に向けた協力、北朝鮮の非核化に向けた連携、これらもしっかりと連携していくことで一致しました。,"For the international community common problems, including corona measures and climate change issues, also matched that continue to closely cooperate. In addition, the application of the Senkaku Islands in the Japan-US Security Treaty Article 5, further cooperation of the Japan-US Goshirushi, cooperation for early resolution of the abduction issue, cooperation towards the denuclearization of North Korea, these also firmly cooperation It matched by go.",190,602,4616
2021-01-27,8:51:51,sugawitter,菅 義偉,先ほど、バイデン大統領と電話会談を行いました。就任をお祝いをし、日米同盟をさらに一層強化していくことで一致しました。 また、自由で開かれたインド太平洋の実現に向けて、緊密に連携していくことでも一致しました。,"Earlier, he made a telephone talks with Biden President. The inauguration was a celebration, matched by continue to further strengthen the Japan-US alliance. In addition, for the realization of free and open India Pacific Ocean, also matched that continue to work closely.",2208,2541,20031
2021-01-22,2:56:02,sugawitter,菅 義偉,"感染対策の決め手となるワクチンについて、3億1,400万回分の供給を受ける契約の締結に至りました。 ワクチン接種に必要な費用は国が負担します。 国民の皆さんに安全で有効なワクチンを速やかにお届けし、一日も早く感染を収束させ、安心して暮らせる日常を取り戻す。政府を挙げて取り組みます。  https://t.co/ZhP0MmQW2D","For the vaccine to be a decisive factor of infection control, and came to the conclusion of the contract to receive a supply of 300 million 1,400 million doses. Cost required for the vaccination country will pay. Promptly deliver a safe and effective vaccine to the people of you, to converge as early infection one day, regain the day-to-day to be able to live in peace. Citing the government will work. https://t.co/ZhP0MmQW2D",2175,1084,4831
2021-01-20,9:20:03,sugawitter,菅 義偉,バイデン大統領、ハリス副大統領、ご就任おめでとうございます。 日米は普遍的価値を共有する、強い絆で結ばれた同盟国です。日米同盟の強化や「自由で開かれたインド太平洋」の実現に向け、今後バイデン大統領と協力していけることを楽しみにしています。,"Biden President, Harris Vice President, Thank your appointment Congratulations. Japan and the United States share a universal value, is the ally that has been linked by strong ties. For the realization of a day strengthening and the US alliance ""free and open India Pacific Ocean,"" We look forward to forward to once again cooperate with the future Biden President.",891,1099,4267
2021-01-20,9:19:42,sugawitter,菅 義偉,I look forward to working with you and your team to reinforce our alliance and to realize a Free and Open Indo-Pacific.,I look forward to working with you and your team to reinforce our alliance and to realize a Free and Open Indo-Pacific.,80,533,3716
2021-01-20,9:19:13,sugawitter,菅 義偉,Congratulations to President @JoeBiden and Vice President @KamalaHarris on your inauguration. Japan and the United States are allies tied firmly by bonds and shared universal values.,Congratulations to President @JoeBiden and Vice President @KamalaHarris on your inauguration. Japan and the United States are allies tied firmly by bonds and shared universal values.,329,1478,8344
2021-01-18,3:16:13,sugawitter,菅 義偉,通常国会が開会し、施政方針演説を行いました。 新型コロナ対策、長年の課題である少子化や地方活性化への対応。次の成長の原動力となる「グリーン」や「デジタル」。改革をスピード感を持って実現していきます。 「国民のために働く内閣」として全力を尽くします。  https://t.co/SgzZABORRM,"Ordinary Diet session is opening, it gave a policy speech. The new corona measures, corresponding to the low birth rate and local activation is a long-standing issue. The driving force for the next growth ""green"" or ""digital"". We will continue to implement with a sense of urgency to reform. We will do our best as a ""Cabinet to work for the people."" https://t.co/SgzZABORRM",2040,492,3499
2021-01-14,1:32:54,sugawitter,菅 義偉,必要な方に必要な医療を提供していただくために、さらなるご協力をお願いしました。 この難局を乗り越えるため、国、自治体、そして医療関係者が一致団結して対処してまいります。,"In order for you to provide the necessary medical care to those who need, and asked for further cooperation. To overcome this impasse, country, local government, and we will continue to deal with medical personnel and unity.",1233,270,2007
2021-01-14,1:32:22,sugawitter,菅 義偉,医療関係団体の代表者の方々と意見交換を行いました。 年末年始を問わず、感染防止に細心の注意を払いながら、新型コロナウイルス患者の命を守るため、懸命な努力を続けていただいている医療関係の皆様方に、心から感謝と敬意を表しました。  https://t.co/qV1kTnqLb1,"And exchanged opinions with people of representatives of health care organizations. Regardless of the year-end and New Year holidays, while paying close attention to prevention infection, in order to protect the life of the new coronavirus patient, to everyone how the health care that I am continuing a hard effort, we expressed our sincere gratitude and respect . https://t.co/qV1kTnqLb1",1244,440,2654
2021-01-08,18:25:26,sugawitter,菅 義偉,スタッフからお知らせです。  菅義偉が下記テレビ番組に生出演いたします。  〇１月１０日（日）午前９時～９時３０分 〇番組名：ＮＨＫ　日曜討論 〇テーマ：緊急事態宣言とコロナ対策  以上お知らせします。  ぜひ、ご覧ください。 菅義偉事務所   https://t.co/3ZP3QamPf0,"Greetings from the staff. Yoshihide Suga are pleased to raw appeared in the following television program. 〇 January 10 (Sunday) 9:00 am to 9:30 〇 program name: NHK Sunday debate 〇 theme: will be announced emergency declaration and the corona measures or more. By all means, please visit. Yoshihide Suga office https://t.co/3ZP3QamPf0",2326,295,1170
2021-01-08,1:20:23,sugawitter,菅 義偉,(写真は自衛隊による災害派遣活動),(Photo disaster relief activities by the Self-Defense Forces),187,105,1005
2021-01-08,1:19:55,sugawitter,菅 義偉,国民の皆様におかれましては、最新の気象情報や道路交通情報等に留意し、交通障害や施設への被害、屋根からの落雪や雪崩を十分警戒してください。大雪が予想される地域では、不要不急の外出を控えていただくとともに、除雪作業は十分注意して行っていただくようお願いします。,"When it is put to the people of everybody, mind-to-date weather information and road traffic information, and the like, traffic disturbances and damage to the facility, please be sufficiently wary of falling snow and avalanches from the roof. In areas where heavy snow is expected, along with I'll refrain from going out of unnecessary non-urgent, snow removal work will ask you to go with care.",328,227,1484
2021-01-08,1:19:35,sugawitter,菅 義偉,今後も広い範囲で大雪が続く見込みです。 自治体や関係者と緊密に連携し、停電の復旧作業や、自衛隊による除雪などを実施しています。今後も警戒を続け、積極的に支援します。  https://t.co/gcxHDGYM4C,"Heavy snow is expected to continue in a wide range in the future. Working closely with local governments and stakeholders, we are implementing restoration work and a power outage, such as snow removal by the Self-Defense Forces. Continued to alert the future, we actively support. https://t.co/gcxHDGYM4C",616,556,3344
2021-01-07,22:14:13,sugawitter,菅 義偉,スタッフからお知らせです。  菅義偉が下記テレビ番組に出演いたします。  〇１月８日（金）午後９時５４分～１０時１５分頃  〇番組名：テレビ朝日　報道ステーション  〇テーマ：新型コロナウイルス感染症対策  以上お知らせします。  ぜひ、ご覧ください。 菅義偉事務所   https://t.co/PwXkimawMN,"Greetings from the staff. Yoshihide Suga will be starring in the following television program. 〇 January 8 (Friday) 9:00 pm 54 minutes to 15 minutes around 〇 program name at 10: TV Asahi news station 〇 theme: let you know the new coronavirus measures against infectious diseases or more. By all means, please visit. Yoshihide Suga office https://t.co/PwXkimawMN",754,307,1048
2021-01-07,4:46:06,sugawitter,菅 義偉,これまでの国民の皆様のご協力に感謝を申し上げるとともに、今一度、ご協力を賜りますことをお願いいたします。  https://t.co/Am7YjoUKfR,"With say thanks to the cooperation of the people of everyone so far, once again, thank you that you look forward to your cooperation. https://t.co/Am7YjoUKfR",1381,518,2713
2021-01-07,4:45:22,sugawitter,菅 義偉,どうか皆様のご両親やご父母、ご家庭、友人など、世代を超えて、大切な命を守るために、ご自身の事として捉えていただいて行動をお願いしたいと思います。  1ヶ月後には必ず事態を改善させる、そのためにも私自身、内閣総理大臣として感染拡大防止に全力を尽くし、ありとあらゆる方策を講じて参ります,"If everyone of your parents and your parents, your home, such as a friend, more than a generation, in order to protect the precious life, I would like to ask the action we are regarded as a thing of your own. 1 month after month to be sure to improve the situation, the order to be myself, do my best to spread prevention as the Prime Minister, we will take any and all measures",960,730,3380
2021-01-07,4:44:13,sugawitter,菅 義偉,若い方々にお伝えしたいことがあります。  最近の１都３県における感染者の半分以上が、30代以下の皆様です。こうした皆様は感染されても多くの場合、重い症状が出ることはありません。しかし、若い方々への感染が、さらなる感染拡大につながっているという現実があります。,"You may want to tell the young people. More than half of the infected people in modern Tokyo and three prefectures is the following of everyone in their 30s. Such everyone often be infected, it will not be severe symptoms may appear. However, infection of the young people have, there is a reality that has led to the further spread of infection.",302,779,1814
2021-01-07,4:42:48,sugawitter,菅 義偉,この一年の経験で、多くを学んできました。重要で効果的なのは、会話をする時はマスクをするということです。さらに、家族や普段から一緒にいる方以外との外食を控える、テレワークを7割、夜8時以降の不要不急の外出の自粛、特にこの3点を徹底すれば、必ず感染を抑えることができると考えております。,"In this one year of experience, I have learned a lot. Important and effective thing is, when the conversation is that the mask. In addition, refrain from eating out of other than those who are from the family and usually together, 70% of the telework, refrain from going out at night after 8:00 nonessential, if especially thorough the three points, it is possible to suppress the always infection we believe we can.",339,474,1591
2021-01-07,4:41:38,sugawitter,菅 義偉,今回の世界規模の感染の波は、私たちが想像していたものを超え、厳しいものになっています。しかしこの状況は必ず克服できると思っています。そのためには、もう一度、皆様に制約のある生活をお願いせざるを得ません。,"The wave of infection of this world scale, beyond what we had imagined, has become tough. But I think that this situation is sure to be overcome. To do this, again, we are not forced to give me a life that is constrained to everyone.",341,381,1534
2021-01-07,4:39:56,sugawitter,菅 義偉,本日、新型コロナウイルスの感染拡大を受け、東京、埼玉、千葉、神奈川の1都3県に、緊急事態宣言を発出しました。  1年近くにわたるコロナとの闘いにおいて、痛みを伴う自粛要請に協力をいただいております国民の皆様に、心から感謝を申し上げます。,"Today, it received the spread of the new coronavirus, Tokyo, Saitama, Chiba, in Tokyo and three prefectures of Kanagawa, was issued a state of emergency declaration. In the fight against corona over almost a year, we have received the cooperation of self-restraint request painful to the people of everybody, I would like to sincerely thank.",3766,1779,7298
2021-01-03,21:05:36,sugawitter,菅 義偉,あけましておめでとうございます。  菅義偉が下記テレビ番組に生出演いたします。  〇１月４日（月）午後８時～８時３０分 〇番組名：ＢＳフジ　プライムニュース 〇テーマ：コロナ感染＆日本経済、２０２１年の課題  以上お知らせします。 是非ご覧ください。  菅義偉事務所  https://t.co/I9b23vBez8,"happy New Year. Yoshihide Suga are pleased to raw appeared in the following television program. 〇 January 4 (Monday) 8:00 pm to 8 pm 30 minutes 〇 program name: BS Fuji prime news 〇 theme: let you know corona infection and the Japanese economy, the 2021 issue more. Please have a look. Yoshihide Suga office https://t.co/I9b23vBez8",1662,334,1712
2021-02-02,5:19:01,sugawitter,菅 義偉,引き続き、制約の多い生活でご苦労をおかけしますが、お一人お一人が行動を変えていただくことで、感染をさらに大幅に縮小させることができます。今一度のご協力を、国民の皆様にお願い申し上げます。,"Continue, We apologize for the hardships in the constraints of many life, but by one person per person is asked to change the behavior, you can be further significantly reduced the infection. Once of the cooperation now, thank you to the people of everybody.",434,385,3276
2021-02-02,5:18:21,sugawitter,菅 義偉,新型コロナウイルスの発生から1年が経ちました。日本でも世界でも、ウイルスとの闘いは続いています。国民の皆様の不安を少しでも解消し、一日も早く安心できる暮らしを取り戻すために、私のすべての力を注いで取り組んでまいります。,"1 year from the occurrence of the new coronavirus have passed. Both in Japan and around the world, the fight against the virus has continued. To eliminate the anxiety of the people of everybody, even a little, in order to get back the lives that can be safe one day soon, we will work pour all my force.",99,329,2934
2021-02-02,5:17:03,sugawitter,菅 義偉,重層的なセーフティーネットにより事業を守り、雇用と暮らしを守り、困難を抱えた方々を支えていきます。 ワクチンについては、有効性、安全性を確認した上で、2月中旬に接種をスタートしたいと思います。政府をあげて準備を進めます。,"Protect the business through multi-level safety net, to protect the employment and living, will continue to support the people who were having difficulty. For the vaccine, effectiveness, after confirming the safety, I would like to start a vaccination in mid-February. We are gearing up to raise the government.",62,225,1192
2021-02-02,5:16:14,sugawitter,菅 義偉,ここで、感染の減少傾向を確かなものにしなければならない、そう判断いたしました。  飲食店の時間短縮を中心にメリハリをつけた、これまでの対策をさらに徹底することで減少傾向を継続し、入院者、重症者をさらに減少させ、自治体と連携し医療体制を確保します。,"Here, must be to ensure its downward trend of the infection, we have determined so. Wearing a sharp around the time shortening of the restaurant, continuing the downward trend by more thorough measures so far, hospitalizations, severe person is further reduced, to ensure the health care system in cooperation with local governments.",56,242,1309
2021-02-02,5:15:17,sugawitter,菅 義偉,また先般、内閣の一員である副大臣やわが党に所属した議員が深夜まで会食した問題はあってはならないことであります。素直にお詫びを申し上げます。  皆様のご協力により、全国の感染者数は大幅に減少してきており、対策の効果がはっきりと出始めています。,"Also recently, a problem that lawmakers who belong to the Deputy Minister and our party that is a member of the Cabinet was dinner until midnight will is that there should not be. I would like to honestly apologize. By the cooperation of everyone, infected number of people across the country has been greatly reduced, the effect of the measures have begun to appear clearly.",93,305,1644
2021-02-02,5:13:44,sugawitter,菅 義偉,緊急事態宣言について、栃木県は2月7日で解除、それ以外の10都府県は3月7日まで1ヶ月延長することとしました。 これまでの国民の皆様のご協力に感謝申し上げますとともに、全ての地域で緊急事態宣言を終えることができず、誠に申し訳なく思っております。,"For emergency declaration, Tochigi Prefecture released by February 7, and the other 10 prefectures had decided to one-month extension until March 7. Along with the Thank you for your cooperation of the people of everyone so far, it is impossible to finish a state of emergency declared in all regions, we think without truly sorry.",1032,1560,8127
2021-01-29,4:23:38,sugawitter,菅 義偉,ダボス・アジェンダに出席しました。 感染症対応、グリーン社会の実現やデジタル改革、自由貿易へのコミットメント、東京オリンピック・パラリンピックの実現に向けた決意についてお話し、シュワブ世界経済フォーラム会長や参加したCEOの皆さんと有意義な議論ができました。  https://t.co/lentWPRX7U,"I attended the Davos agenda. Infectious diseases correspondence, realization and digital reform of the green society, was able to free commitment to trade, talk about the commitment towards the realization of the Tokyo Olympic and Paralympic, everyone and meaningful discussion of Schwab World Economic Forum Chairman and participating CEO . https://t.co/lentWPRX7U",1190,272,2203
2021-01-27,20:19:44,sugawitter,菅 義偉,and cooperating on North Korean denuclearization.  This was my second telephone conversation with President Biden since he won the election. I look forward to deepening my personal relationship with the President and to working closely with him to further strengthen our alliance.,and cooperating on North Korean denuclearization. This was my second telephone conversation with President Biden since he won the election. I look forward to deepening my personal relationship with the President and to working closely with him to further strengthen our alliance.,104,82,571
2021-01-27,20:19:06,sugawitter,菅 義偉,"We also agreed; working together on transnational issues including COVID-19 &amp; climate change; that Art. 5 of the Japan-US Security Treaty covers the Senkakus; deepening cooperation between the US, Japan, Australia &amp; India; achieving an early resolution of the abductees issue;","We also agreed; working together on transnational issues including COVID-19 & amp; climate change; that Art 5 of the Japan-US Security Treaty covers the Senkakus;. Deepening cooperation between the US, Japan, Australia & amp; India; achieving an early resolution of the abductees issue;",66,97,634
2021-01-27,20:18:14,sugawitter,菅 義偉,We agreed to work closely together to further strengthen the Japan-US alliance and to realise a free and open Indo-Pacific.,We agreed to work closely together to further strengthen the Japan-US alliance and to realise a free and open Indo-Pacific.,9,58,334
2021-01-27,20:17:28,sugawitter,菅 義偉,"I have just had a telephone conversation with President @JoeBiden, in which I congratulated him on his inauguration and discussed with him a range of substantive issues.","I have just had a telephone conversation with President @JoeBiden, in which I congratulated him on his inauguration and discussed with him a range of substantive issues.",17,88,451
2021-01-27,8:54:52,sugawitter,菅 義偉,大統領当選後に続く2回目の電話会談でしたが、前回以上にじっくりと、また、実質的なやりとりができました。 バイデン大統領との個人的関係も深めつつ、日米同盟のさらなる強化に向けて、しっかりと取り組んでまいります。,"It was the second telephone conversation followed by President-elect, but carefully than the last time, also, we have substantial interaction. Deepen even personal relationship with Biden President, for further strengthening of the Japan-US alliance, we will work firmly.",369,520,4746
2021-01-27,8:54:14,sugawitter,菅 義偉,コロナ対策や気候変動問題含む国際社会共通の問題について、緊密に協力していくことでも一致しました。 さらに、日米安保条約5条の尖閣諸島への適用、日米豪印のさらなる協力、拉致問題への早期解決に向けた協力、北朝鮮の非核化に向けた連携、これらもしっかりと連携していくことで一致しました。,"For the international community common problems, including corona measures and climate change issues, also matched that continue to closely cooperate. In addition, the application of the Senkaku Islands in the Japan-US Security Treaty Article 5, further cooperation of the Japan-US Goshirushi, cooperation for early resolution of the abduction issue, cooperation towards the denuclearization of North Korea, these also firmly cooperation It matched by go.",190,602,4616
2021-01-27,8:51:51,sugawitter,菅 義偉,先ほど、バイデン大統領と電話会談を行いました。就任をお祝いをし、日米同盟をさらに一層強化していくことで一致しました。 また、自由で開かれたインド太平洋の実現に向けて、緊密に連携していくことでも一致しました。,"Earlier, he made a telephone talks with Biden President. The inauguration was a celebration, matched by continue to further strengthen the Japan-US alliance. In addition, for the realization of free and open India Pacific Ocean, also matched that continue to work closely.",2208,2541,20031
2021-01-22,2:56:02,sugawitter,菅 義偉,"感染対策の決め手となるワクチンについて、3億1,400万回分の供給を受ける契約の締結に至りました。 ワクチン接種に必要な費用は国が負担します。 国民の皆さんに安全で有効なワクチンを速やかにお届けし、一日も早く感染を収束させ、安心して暮らせる日常を取り戻す。政府を挙げて取り組みます。  https://t.co/ZhP0MmQW2D","For the vaccine to be a decisive factor of infection control, and came to the conclusion of the contract to receive a supply of 300 million 1,400 million doses. Cost required for the vaccination country will pay. Promptly deliver a safe and effective vaccine to the people of you, to converge as early infection one day, regain the day-to-day to be able to live in peace. Citing the government will work. https://t.co/ZhP0MmQW2D",2175,1084,4831
2021-01-20,9:20:03,sugawitter,菅 義偉,バイデン大統領、ハリス副大統領、ご就任おめでとうございます。 日米は普遍的価値を共有する、強い絆で結ばれた同盟国です。日米同盟の強化や「自由で開かれたインド太平洋」の実現に向け、今後バイデン大統領と協力していけることを楽しみにしています。,"Biden President, Harris Vice President, Thank your appointment Congratulations. Japan and the United States share a universal value, is the ally that has been linked by strong ties. For the realization of a day strengthening and the US alliance ""free and open India Pacific Ocean,"" We look forward to forward to once again cooperate with the future Biden President.",891,1099,4267
2021-01-20,9:19:42,sugawitter,菅 義偉,I look forward to working with you and your team to reinforce our alliance and to realize a Free and Open Indo-Pacific.,I look forward to working with you and your team to reinforce our alliance and to realize a Free and Open Indo-Pacific.,80,533,3716
2021-01-20,9:19:13,sugawitter,菅 義偉,Congratulations to President @JoeBiden and Vice President @KamalaHarris on your inauguration. Japan and the United States are allies tied firmly by bonds and shared universal values.,Congratulations to President @JoeBiden and Vice President @KamalaHarris on your inauguration. Japan and the United States are allies tied firmly by bonds and shared universal values.,329,1478,8344
2021-01-18,3:16:13,sugawitter,菅 義偉,通常国会が開会し、施政方針演説を行いました。 新型コロナ対策、長年の課題である少子化や地方活性化への対応。次の成長の原動力となる「グリーン」や「デジタル」。改革をスピード感を持って実現していきます。 「国民のために働く内閣」として全力を尽くします。  https://t.co/SgzZABORRM,"Ordinary Diet session is opening, it gave a policy speech. The new corona measures, corresponding to the low birth rate and local activation is a long-standing issue. The driving force for the next growth ""green"" or ""digital"". We will continue to implement with a sense of urgency to reform. We will do our best as a ""Cabinet to work for the people."" https://t.co/SgzZABORRM",2040,492,3499
2021-01-14,1:32:54,sugawitter,菅 義偉,必要な方に必要な医療を提供していただくために、さらなるご協力をお願いしました。 この難局を乗り越えるため、国、自治体、そして医療関係者が一致団結して対処してまいります。,"In order for you to provide the necessary medical care to those who need, and asked for further cooperation. To overcome this impasse, country, local government, and we will continue to deal with medical personnel and unity.",1233,270,2007
2021-01-14,1:32:22,sugawitter,菅 義偉,医療関係団体の代表者の方々と意見交換を行いました。 年末年始を問わず、感染防止に細心の注意を払いながら、新型コロナウイルス患者の命を守るため、懸命な努力を続けていただいている医療関係の皆様方に、心から感謝と敬意を表しました。  https://t.co/qV1kTnqLb1,"And exchanged opinions with people of representatives of health care organizations. Regardless of the year-end and New Year holidays, while paying close attention to prevention infection, in order to protect the life of the new coronavirus patient, to everyone how the health care that I am continuing a hard effort, we expressed our sincere gratitude and respect . https://t.co/qV1kTnqLb1",1244,440,2654
2021-01-08,18:25:26,sugawitter,菅 義偉,スタッフからお知らせです。  菅義偉が下記テレビ番組に生出演いたします。  〇１月１０日（日）午前９時～９時３０分 〇番組名：ＮＨＫ　日曜討論 〇テーマ：緊急事態宣言とコロナ対策  以上お知らせします。  ぜひ、ご覧ください。 菅義偉事務所   https://t.co/3ZP3QamPf0,"Greetings from the staff. Yoshihide Suga are pleased to raw appeared in the following television program. 〇 January 10 (Sunday) 9:00 am to 9:30 〇 program name: NHK Sunday debate 〇 theme: will be announced emergency declaration and the corona measures or more. By all means, please visit. Yoshihide Suga office https://t.co/3ZP3QamPf0",2326,295,1170
2021-01-08,1:20:23,sugawitter,菅 義偉,(写真は自衛隊による災害派遣活動),(Photo disaster relief activities by the Self-Defense Forces),187,105,1005
2021-01-08,1:19:55,sugawitter,菅 義偉,国民の皆様におかれましては、最新の気象情報や道路交通情報等に留意し、交通障害や施設への被害、屋根からの落雪や雪崩を十分警戒してください。大雪が予想される地域では、不要不急の外出を控えていただくとともに、除雪作業は十分注意して行っていただくようお願いします。,"When it is put to the people of everybody, mind-to-date weather information and road traffic information, and the like, traffic disturbances and damage to the facility, please be sufficiently wary of falling snow and avalanches from the roof. In areas where heavy snow is expected, along with I'll refrain from going out of unnecessary non-urgent, snow removal work will ask you to go with care.",328,227,1484
2021-01-08,1:19:35,sugawitter,菅 義偉,今後も広い範囲で大雪が続く見込みです。 自治体や関係者と緊密に連携し、停電の復旧作業や、自衛隊による除雪などを実施しています。今後も警戒を続け、積極的に支援します。  https://t.co/gcxHDGYM4C,"Heavy snow is expected to continue in a wide range in the future. Working closely with local governments and stakeholders, we are implementing restoration work and a power outage, such as snow removal by the Self-Defense Forces. Continued to alert the future, we actively support. https://t.co/gcxHDGYM4C",616,556,3344
2021-01-07,22:14:13,sugawitter,菅 義偉,スタッフからお知らせです。  菅義偉が下記テレビ番組に出演いたします。  〇１月８日（金）午後９時５４分～１０時１５分頃  〇番組名：テレビ朝日　報道ステーション  〇テーマ：新型コロナウイルス感染症対策  以上お知らせします。  ぜひ、ご覧ください。 菅義偉事務所   https://t.co/PwXkimawMN,"Greetings from the staff. Yoshihide Suga will be starring in the following television program. 〇 January 8 (Friday) 9:00 pm 54 minutes to 15 minutes around 〇 program name at 10: TV Asahi news station 〇 theme: let you know the new coronavirus measures against infectious diseases or more. By all means, please visit. Yoshihide Suga office https://t.co/PwXkimawMN",754,307,1048
2021-01-07,4:46:06,sugawitter,菅 義偉,これまでの国民の皆様のご協力に感謝を申し上げるとともに、今一度、ご協力を賜りますことをお願いいたします。  https://t.co/Am7YjoUKfR,"With say thanks to the cooperation of the people of everyone so far, once again, thank you that you look forward to your cooperation. https://t.co/Am7YjoUKfR",1381,518,2713
